,Name,2019,2014,2009
0,Srikakulam,Telugu Desam Party,TDP,INC
1,Vizianagaram,YSR Congress Party,TDP,INC
2,Visakhapatnam,YSR Congress Party,BJP,INC
3,Anakapalli,YSR Congress Party,TDP,INC
4,Kakinada,YSR Congress Party,TDP,INC
5,Amalapuram,YSR Congress Party,TDP,INC
6,Rajahmundry,YSR Congress Party,TDP,INC
7,Eluru,YSR Congress Party,TDP,INC
8,Machilipatnam,YSR Congress Party,TDP,TDP
9,Vijayawada,Telugu Desam Party,TDP,INC
10,Guntur,Telugu Desam Party,TDP,INC
11,Narasaraopet,YSR Congress Party,TDP,TDP
12,Bapatla,YSR Congress Party,TDP,INC
13,Ongole,YSR Congress Party,YSRC,INC
14,Nandyal,YSR Congress Party,YSRC,INC
15,Kurnool,YSR Congress Party,YSRC,INC
16,Anantapur,YSR Congress Party,TDP,INC
17,Hindupur,YSR Congress Party,TDP,TDP
18,Kadapa,YSR Congress Party,YSRC,INC
19,Nellore,YSR Congress Party,YSRC,INC
20,Tirupati,YSR Congress Party,YSRC,INC
21,Rajampet,YSR Congress Party,YSRC,INC
22,Chittoor,YSR Congress Party,TDP,TDP
23,Arunachal West,Bharatiya Janata Party,BJP,INC
24,Arunachal East,Bharatiya Janata Party,INC,INC
25,Karimganj,Bharatiya Janata Party,AUDF,INC
26,Silchar,Bharatiya Janata Party,INC,BJP
27,Autonomous District,Bharatiya Janata Party,INC,INC
28,Dhubri,All India United Democratic Front,AUDF,AUDF
29,Kokrajhar,Independent,IND,BOPF
30,Barpeta,Indian National Congress,AUDF,INC
31,Gauhati,Bharatiya Janata Party,BJP,BJP
32,Mangaldoi,Bharatiya Janata Party,BJP,BJP
33,Tezpur,Bharatiya Janata Party,BJP,AGP
34,Kaliabor,Indian National Congress,INC,INC
35,Jorhat,Bharatiya Janata Party,BJP,INC
36,Dibrugarh,Bharatiya Janata Party,BJP,INC
37,Lakhimpur,Bharatiya Janata Party,BJP,INC
38,Valmiki Nagar,Janata Dal (United),BJP,JD(U)
39,Paschim Champaran,Bharatiya Janata Party,BJP,BJP
40,Purvi Champaran,Bharatiya Janata Party,BJP,BJP
41,Sheohar,Janata Dal (United),BJP,BJP
42,Sitamarhi,Janata Dal (United),RLSP,JD(U)
43,Madhubani,Bharatiya Janata Party,BJP,BJP
44,Jhanjharpur,Janata Dal (United),BJP,JD(U)
45,Supaul,Janata Dal (United),INC,JD(U)
46,Araria,Bharatiya Janata Party,RJD,BJP
47,Kishanganj,Indian National Congress,INC,INC
48,Katihar,Janata Dal (United),NCP,BJP
49,Purnia,Janata Dal (United),JD(U),BJP
50,Madhepura,Janata Dal (United),RJD,JD(U)
51,Darbhanga,Bharatiya Janata Party,BJP,BJP
52,Muzaffarpur,Bharatiya Janata Party,BJP,JD(U)
53,Vaishali,Lok Janshakti Party,LJP,RJD
54,Gopalganj,Janata Dal (United),BJP,JD(U)
55,Siwan,Janata Dal (United),BJP,IND
56,Maharajganj,Bharatiya Janata Party,BJP,RJD
57,Maharajganj,Bharatiya Janata Party,BJP,INC
58,Maharajganj,Bharatiya Janata Party,BJP,RJD
59,Maharajganj,Bharatiya Janata Party,BJP,INC
60,Maharajganj,Bharatiya Janata Party,BJP,RJD
61,Maharajganj,Bharatiya Janata Party,BJP,INC
62,Maharajganj,Bharatiya Janata Party,BJP,RJD
63,Maharajganj,Bharatiya Janata Party,BJP,INC
64,Saran,Bharatiya Janata Party,BJP,RJD
65,Hajipur,Lok Janshakti Party,LJP,JD(U)
66,Ujiarpur,Bharatiya Janata Party,BJP,JD(U)
67,Samastipur,Lok Janshakti Party,LJP,JD(U)
68,Begusarai,Bharatiya Janata Party,BJP,JD(U)
69,Khagaria,Lok Janshakti Party,LJP,JD(U)
70,Bhagalpur,Janata Dal (United),RJD,BJP
71,Banka,Janata Dal (United),RJD,IND
72,Munger,Janata Dal (United),LJP,JD(U)
73,Nalanda,Janata Dal (United),JD(U),JD(U)
74,Patna Sahib,Bharatiya Janata Party,BJP,BJP
75,Pataliputra,Bharatiya Janata Party,BJP,JD(U)
76,Arrah,Bharatiya Janata Party,BJP,JD(U)
77,Buxar,Bharatiya Janata Party,BJP,RJD
78,Sasaram,Bharatiya Janata Party,BJP,INC
79,Karakat,Janata Dal (United),RLSP,JD(U)
80,Jahanabad,Janata Dal (United),RLSP,JD(U)
81,Aurangabad,Bharatiya Janata Party,BJP,JD(U)
82,Aurangabad,Bharatiya Janata Party,BJP,SHS
83,Aurangabad,Bharatiya Janata Party,SHS,JD(U)
84,Aurangabad,Bharatiya Janata Party,SHS,SHS
85,Aurangabad,All India Majlis-e-Ittehadul Muslimeen,BJP,JD(U)
86,Aurangabad,All India Majlis-e-Ittehadul Muslimeen,BJP,SHS
87,Aurangabad,All India Majlis-e-Ittehadul Muslimeen,SHS,JD(U)
88,Aurangabad,All India Majlis-e-Ittehadul Muslimeen,SHS,SHS
89,Gaya,Janata Dal (United),BJP,BJP
90,Nawada,Lok Janshakti Party,BJP,BJP
91,Jamui,Lok Janshakti Party,LJP,JD(U)
92,Chandigarh,Bharatiya Janata Party,BJP,INC
93,North Goa,Bharatiya Janata Party,BJP,BJP
94,South Goa,Indian National Congress,BJP,INC
95,Banaskantha,Bharatiya Janata Party,BJP,INC
96,Patan,Bharatiya Janata Party,BJP,INC
97,Sabarkantha,Bharatiya Janata Party,BJP,BJP
98,Gandhinagar,Bharatiya Janata Party,BJP,BJP
99,Ahmedabad East,Bharatiya Janata Party,BJP,BJP
100,Ahmedabad West,Bharatiya Janata Party,BJP,BJP
101,Surendranagar,Bharatiya Janata Party,BJP,INC
102,Rajkot,Bharatiya Janata Party,BJP,INC
103,Porbandar,Bharatiya Janata Party,BJP,INC
104,Jamnagar,Bharatiya Janata Party,BJP,INC
105,Junagadh,Bharatiya Janata Party,BJP,BJP
106,Amreli,Bharatiya Janata Party,BJP,BJP
107,Bhavnagar,Bharatiya Janata Party,BJP,BJP
108,Anand,Bharatiya Janata Party,BJP,INC
109,Kheda,Bharatiya Janata Party,BJP,INC
110,Panchmahal,Bharatiya Janata Party,BJP,BJP
111,Dahod,Bharatiya Janata Party,BJP,INC
112,Vadodara,Bharatiya Janata Party,BJP,BJP
113,Chhota Udaipur,Bharatiya Janata Party,BJP,BJP
114,Bharuch,Bharatiya Janata Party,BJP,BJP
115,Bardoli,Bharatiya Janata Party,BJP,INC
116,Surat,Bharatiya Janata Party,BJP,BJP
117,Navsari,Bharatiya Janata Party,BJP,BJP
118,Valsad,Bharatiya Janata Party,BJP,INC
119,Ambala,Bharatiya Janata Party,BJP,INC
120,Kurukshetra,Bharatiya Janata Party,BJP,INC
121,Sirsa,Bharatiya Janata Party,INLD,INC
122,Hisar,Bharatiya Janata Party,INLD,HJCBL
123,Karnal,Bharatiya Janata Party,BJP,INC
124,Sonipat,Bharatiya Janata Party,BJP,INC
125,Rohtak,Bharatiya Janata Party,INC,INC
126,Gurgaon,Bharatiya Janata Party,BJP,INC
127,Faridabad,Bharatiya Janata Party,BJP,INC
128,Kangra,Bharatiya Janata Party,BJP,BJP
129,Mandi,Bharatiya Janata Party,BJP,INC
130,Hamirpur,Bharatiya Janata Party,BJP,BJP
131,Hamirpur,Bharatiya Janata Party,BJP,BSP
132,Hamirpur,Bharatiya Janata Party,BJP,BJP
133,Hamirpur,Bharatiya Janata Party,BJP,BSP
134,Hamirpur,Bharatiya Janata Party,BJP,BJP
135,Hamirpur,Bharatiya Janata Party,BJP,BSP
136,Hamirpur,Bharatiya Janata Party,BJP,BJP
137,Hamirpur,Bharatiya Janata Party,BJP,BSP
138,Shimla,Bharatiya Janata Party,BJP,BJP
139,Baramulla,Jammu & Kashmir National Conference,PDP,JKN
140,Srinagar,Jammu & Kashmir National Conference,PDP,JKN
141,Anantnag,Jammu & Kashmir National Conference,PDP,JKN
142,Ladakh,Bharatiya Janata Party,BJP,IND
143,Udhampur,Bharatiya Janata Party,BJP,INC
144,Jammu,Bharatiya Janata Party,BJP,INC
145,Rajmahal,Jharkhand Mukti Morcha,JMM,BJP
146,Dumka,Bharatiya Janata Party,JMM,JMM
147,Godda,Bharatiya Janata Party,BJP,BJP
148,Chatra,Bharatiya Janata Party,BJP,IND
149,Kodarma,Bharatiya Janata Party,BJP,JVM
150,Giridih,All Jharkhand Students Union,BJP,BJP
151,Dhanbad,Bharatiya Janata Party,BJP,BJP
152,Ranchi,Bharatiya Janata Party,BJP,INC
153,Jamshedpur,Bharatiya Janata Party,BJP,BJP
154,Singhbhum,Indian National Congress,BJP,IND
155,Khunti,Bharatiya Janata Party,BJP,BJP
156,Lohardaga,Bharatiya Janata Party,BJP,BJP
157,Hazaribagh,Bharatiya Janata Party,BJP,BJP
158,Chikkodi,Bharatiya Janata Party,INC,BJP
159,Belgaum,Bharatiya Janata Party,BJP,BJP
160,Bagalkot,Bharatiya Janata Party,BJP,BJP
161,Bijapur,Bharatiya Janata Party,BJP,BJP
162,Gulbarga,Bharatiya Janata Party,INC,INC
163,Raichur,Bharatiya Janata Party,INC,BJP
164,Bidar,Bharatiya Janata Party,BJP,INC
165,Koppal,Bharatiya Janata Party,BJP,BJP
166,Bellary,Bharatiya Janata Party,BJP,BJP
