,Name,State,Candidate,Party,Votes
1,Andaman & Nicobar Islands,Andaman and Nicobar Islands,Bishnu Pada Ray,BJP,90969
2,Araku,Andhra Pradesh,Kothapalli Geetha,YSRC,413191
3,Srikakulam,Andhra Pradesh,Rammohan Naidu Kinjarapu,TDP,556163
4,Vizianagaram,Andhra Pradesh,Ashok Gajapathi Raju Pusapati,TDP,536549
5,Visakhapatnam,Andhra Pradesh,Kambhampati Hari Babu,BJP,566832
6,Anakapalli,Andhra Pradesh,Muttamsetti Srinivasa Rao (Avanthi),TDP,568463
7,Kakinada,Andhra Pradesh,Thota Narasimham,TDP,514402
8,Amalapuram,Andhra Pradesh,Dr Pandula Ravindra Babu,TDP,594547
9,Rajahmundry,Andhra Pradesh,Murali Mohan Maganti,TDP,630573
10,Narsapuram,Andhra Pradesh,Gokaraju Ganga Raju,BJP,540306
11,Eluru,Andhra Pradesh,Maganti Venkateswara Rao (Babu),TDP,623471
12,Machilipatnam,Andhra Pradesh,Konakalla Narayana Rao,TDP,587280
13,Vijayawada,Andhra Pradesh,Kesineni Srinivas,TDP,592696
14,Guntur,Andhra Pradesh,Jayadev Galla,TDP,618417
15,Narasaraopet,Andhra Pradesh,Sambasiva Rao Rayapati,TDP,632464
16,Bapatla,Andhra Pradesh,Malyadri Sriram,TDP,578145
17,Ongole,Andhra Pradesh,Y. V. Subba Reddy,YSRC,589960
18,Nandyal,Andhra Pradesh,S.P.Y Reddy,YSRC,622411
19,Kurnool,Andhra Pradesh,Butta Renuka,YSRC,472782
20,Anantapur,Andhra Pradesh,J.C. Divakar Reddi,TDP,606509
21,Hindupur,Andhra Pradesh,Kristappa Nimmala,TDP,604291
22,Kadapa,Andhra Pradesh,Y.S. Avinash Reddy,YSRC,671983
23,Nellore,Andhra Pradesh,Mekapati Rajamohan Reddy,YSRC,576396
24,Tirupati,Andhra Pradesh,Varaprasad Rao Velagapalli,YSRC,580376
25,Rajampet,Andhra Pradesh,P. V. Midhun Reddy,YSRC,601752
26,Chittoor,Andhra Pradesh,Naramalli Sivaprasad,TDP,594862
27,Arunachal West,Arunachal Pradesh,Kiren Rijiju,BJP,169367
28,Arunachal East,Arunachal Pradesh,Ninong Ering,INC,118455
29,Karimganj,Assam,Radheshyam Biswas,AUDF,362866
30,Silchar,Assam,Sushmita Dev,INC,336451
31,Autonomous District,Assam,Biren Singh Engti,INC,213152
32,Dhubri,Assam,Badruddin Ajmal,AUDF,592569
33,Kokrajhar,Assam,Naba Kumar Sarania (Hira),IND,634428
34,Barpeta,Assam,Siraj Uddin Ajmal,AUDF,394702
35,Gauhati,Assam,Smt. Bijoya Chakraborty,BJP,764985
36,Mangaldoi,Assam,Ramen Deka,BJP,486357
37,Tezpur,Assam,Ram Prasad Sarmah,BJP,446511
38,Nawgong,Assam,Rajen Gohain,BJP,494146
39,Kaliabor,Assam,Gourav Gogoi,INC,443315
40,Jorhat,Assam,Kamakhya Prasad Tasa,BJP,456420
41,Dibrugarh,Assam,Rameswar Teli,BJP,494364
42,Lakhimpur,Assam,Sarbananda Sonowal,BJP,612543
43,Valmiki Nagar,Bihar,Satish Chandra Dubey,BJP,364011
44,Paschim Champaran,Bihar,Dr. Sanjay Jaiswal,BJP,371232
45,Purvi Champaran,Bihar,Radha Mohan Singh,BJP,400452
46,Sheohar,Bihar,Rama Devi,BJP,372506
47,Sitamarhi,Bihar,Ram Kumar Sharma,RLSP,411265
48,Madhubani,Bihar,Hukm Deo Narayan Yadav,BJP,358040
49,Jhanjharpur,Bihar,Birendra Kumar Chaudhary,BJP,335481
50,Supaul,Bihar,Ranjeet Ranjan,INC,332927
51,Araria,Bihar,Tasleem Uddin,RJD,407978
52,Kishanganj,Bihar,Mohammad Asrarul Haque,INC,493461
53,Katihar,Bihar,Tariq Anwar,NCP,431292
54,Purnia,Bihar,Santosh Kumar,JD(U),418826
55,Madhepura,Bihar,Rajesh Ranjan (Pappu Yadav),RJD,368937
56,Darbhanga,Bihar,Kirti Azad,BJP,314949
57,Muzaffarpur,Bihar,Ajay Nishad,BJP,469295
58,Vaishali,Bihar,Rama Kishore Singh,LJP,305450
59,Gopalganj,Bihar,Janak Ram,BJP,478773
60,Siwan,Bihar,Om Prakash Yadav,BJP,372670
61,Maharajganj,Bihar,Janardan Singh (Sigriwal),BJP,320753
62,Saran,Bihar,Rajiv Pratap Rudy,BJP,355120
63,Hajipur,Bihar,Ramvilas Paswan,LJP,455652
64,Ujiarpur,Bihar,Nityanand Rai,BJP,317352
65,Samastipur,Bihar,Ram Chandra Paswan,LJP,270401
66,Begusarai,Bihar,Bhola Singh,BJP,428227
67,Khagaria,Bihar,Choudhary Mahboob Ali Kaiser,LJP,313806
68,Bhagalpur,Bihar,Shailesh Kumar Urph Bulo Mandal,RJD,367623
69,Banka,Bihar,Jai Prakash Narayan Yadav,RJD,285150
70,Munger,Bihar,Veena Devi,LJP,352911
71,Nalanda,Bihar,Kaushlendra Kumar,JD(U),321982
72,Patna Sahib,Bihar,Shatrughana Sinha,BJP,485905
73,Pataliputra,Bihar,Ram Kripal Yadav,BJP,383262
74,Arrah,Bihar,Raj Kumar Singh,BJP,391074
75,Buxar,Bihar,Ashwini Kumar Choubey,BJP,319012
76,Sasaram,Bihar,Chhedi Paswan,BJP,366087
77,Karakat,Bihar,Upendra Kushwaha,RLSP,338892
78,Jahanabad,Bihar,Dr. Arun Kumar,RLSP,322647
79,Aurangabad,Bihar,Sushil Kumar Singh,BJP,307941
80,Gaya,Bihar,Hari Manjhi,BJP,326230
81,Nawada,Bihar,Giriraj Singh,BJP,390248
82,Jamui,Bihar,Chirag Kumar Paswan,LJP,285354
83,Chandigarh,Chandigarh,Smt. Kirron Kher Anupam,BJP,191362
84,Surguja,Chhattisgarh,Kamalbhan Singh Marabi,BJP,585336
85,Raigarh,Chhattisgarh,Vishnu Deo Sai,BJP,662478
86,Janjgir-Champa,Chhattisgarh,Smt. Kamla Patle,BJP,518909
87,Korba,Chhattisgarh,Dr. Banshilal Mahto,BJP,439002
88,Bilaspur,Chhattisgarh,Lakhan Lal Sahu,BJP,561387
89,Rajnandgaon,Chhattisgarh,Abhishek Singh,BJP,643473
90,Durg,Chhattisgarh,Tamradhwaj Sahu,INC,570687
91,Raipur,Chhattisgarh,Ramesh Bais,BJP,654922
92,Mahasamund,Chhattisgarh,Chandu Lal Sahu (Chandu Bhaiya),BJP,503514
93,Bastar,Chhattisgarh,Dinesh Kashyap,BJP,385829
94,Kanker,Chhattisgarh,Vikram Dev Usendi,BJP,465215
95,Dadra And Nagar Haveli,Dadra and Nagar Haveli,Patel Natubhai Gomanbhai,BJP,80790
96,Daman And Diu,Daman and Diu,Patel Lalubhai Babubhai,BJP,46960
97,Chandni Chowk,Delhi,Dr. Harsh Vardhan,BJP,437938
98,North East Delhi,Delhi,Manoj Tiwari,BJP,596125
99,East Delhi,Delhi,Maheish Girri,BJP,572202
100,New Delhi,Delhi,Smt. Meenakshi Lekhi,BJP,453350
101,North West Delhi,Delhi,Udit Raj,BJP,629860
102,West Delhi,Delhi,Parvesh Sahib Singh Verma,BJP,651395
103,South Delhi,Delhi,Ramesh Bidhuri,BJP,497980
104,North Goa,Goa,Shripad Yesso Naik,BJP,237903
105,South Goa,Goa,Adv. Narendra Keshav Sawaikar,BJP,198776
106,Kutch,Gujarat,Chavda Vinod Lakhamashi,BJP,562855
107,Banaskantha,Gujarat,Chaudhary Haribhai Parthibhai,BJP,507856
108,Patan,Gujarat,Liladharbhai Khodaji Vaghela,BJP,518538
109,Mehsana,Gujarat,Patel Jayshreeben Kanubhai,BJP,580250
110,Sabarkantha,Gujarat,Rathod Dipsinh Shankarsinh,BJP,552205
111,Gandhinagar,Gujarat,L.K.Advani,BJP,773539
112,Ahmedabad East,Gujarat,Paresh Rawal,BJP,633582
113,Ahmedabad West,Gujarat,Dr. Kirit P Solanki,BJP,617104
114,Surendranagar,Gujarat,Fatepara Devajibhai Govindbhai,BJP,529003
115,Rajkot,Gujarat,Kundariya Mohanbhai Kalyanjibhai,BJP,621524
116,Porbandar,Gujarat,Radadiya Vithalbhai Hansrajbhai,BJP,508437
117,Jamnagar,Gujarat,Poonamben Hematbhai Maadam,BJP,484412
118,Junagadh,Gujarat,Chudasama Rajeshbhai Naranbhai,BJP,513179
119,Amreli,Gujarat,Kachhadiya Naranbhai Bhikhabhai,BJP,436715
120,Bhavnagar,Gujarat,Dr. Bharatiben Dhirubhai Shiyal,BJP,549529
121,Anand,Gujarat,Dilip Patel,BJP,490829
122,Kheda,Gujarat,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),BJP,568235
123,Panchmahal,Gujarat,Chauhan Prabhatsinh Pratapsinh,BJP,508274
124,Dahod,Gujarat,Jasvantsinh Sumanbhai Bhabhor,BJP,511111
125,Vadodara,Gujarat,Ranjanaben Dhananjay Bhatt,BJP,526763
126,Chhota Udaipur,Gujarat,Ramsinh Rathwa,BJP,607916
127,Bharuch,Gujarat,Vasava Mansukhbhai Dhanjibhai,BJP,548902
128,Bardoli,Gujarat,Vasava Parbhubhai Nagarbhai,BJP,622769
129,Surat,Gujarat,Jardosh Darshnaben Vikrambhai,BJP,718412
130,Navsari,Gujarat,C. R. Patil,BJP,820831
131,Valsad,Gujarat,Dr. K.C.Patel,BJP,617772
132,Ambala,Haryana,Rattan Lal Kataria,BJP,612121
133,Kurukshetra,Haryana,Raj Kumar Saini,BJP,418112
134,Sirsa,Haryana,Charanjeet Singh Rori,INLD,506370
135,Hisar,Haryana,Dushyant Chautala,INLD,494478
136,Karnal,Haryana,Ashwini Kumar,BJP,594817
137,Sonipat,Haryana,Ramesh Chander,BJP,347203
138,Rohtak,Haryana,Deepender Singh Hooda,INC,490063
139,Bhiwani-Mahendragarh,Haryana,Dharambir S/O Bhale Ram,BJP,404542
140,Gurgaon,Haryana,Inderjit Singh Rao,BJP,644780
141,Faridabad,Haryana,Krishan Pal,BJP,652516
142,Kangra,Himachal Pradesh,Shanta Kumar,BJP,456163
143,Mandi,Himachal Pradesh,Ram Swaroop Sharma,BJP,362824
144,Hamirpur,Himachal Pradesh,Anurag Singh Thakur,BJP,448035
145,Shimla,Himachal Pradesh,Virender Kashyap,BJP,385973
146,Baramulla,Jammu and Kashmir,Muzaffar Hussain Baig,PDP,175277
147,Srinagar,Jammu and Kashmir,Tariq Hameed Karra,PDP,157923
148,Anantnag,Jammu and Kashmir,Mehbooba Mufti,PDP,200429
149,Ladakh,Jammu and Kashmir,Thupstan Chhewang,BJP,31111
150,Udhampur,Jammu and Kashmir,Dr. Jitendra Singh,BJP,487369
151,Jammu,Jammu and Kashmir,Jugal Kishore,BJP,619995
152,Rajmahal,Jharkhand,Vijay Kumar Hansdak,JMM,379507
153,Dumka,Jharkhand,Shibu Soren,JMM,335815
154,Godda,Jharkhand,Nishikant Dubey,BJP,380500
155,Chatra,Jharkhand,Sunil Kumar Singh,BJP,295862
156,Kodarma,Jharkhand,Ravindra Kr. Ray,BJP,365410
157,Giridih,Jharkhand,Ravindra Kumar Pandey,BJP,391913
158,Dhanbad,Jharkhand,Pashupati Nath Singh,BJP,543491
159,Ranchi,Jharkhand,Ram Tahal Choudhary,BJP,448729
160,Jamshedpur,Jharkhand,Bidyut Baran Mahato,BJP,464153
161,Singhbhum,Jharkhand,Laxman Giluwa,BJP,303131
162,Khunti,Jharkhand,Karia Munda,BJP,269185
163,Lohardaga,Jharkhand,Sudarshan Bhagat,BJP,226666
164,Palamu,Jharkhand,Vishnu Dayal Ram,BJP,476513
165,Hazaribagh,Jharkhand,Jayant Sinha,BJP,406931
166,Chikkodi,Karnataka,Prakash Babanna Hukkeri,INC,474373
167,Belgaum,Karnataka,Angadi Suresh Channabasappa,BJP,554417
168,Bagalkot,Karnataka,Gaddigoudar Parvtagouda Chandanagouda,BJP,571548
169,Bijapur,Karnataka,Ramesh Jigajinagi,BJP,471757
170,Gulbarga,Karnataka,Mallikarjun Kharge,INC,507193
171,Raichur,Karnataka,B.V.Nayak,INC,443659
172,Bidar,Karnataka,Bhagwanth Khuba,BJP,459290
173,Koppal,Karnataka,Karadi Sanganna Amarappa,BJP,486383
174,Bellary,Karnataka,B. Sreeramulu,BJP,534406
175,Haveri,Karnataka,Udasi Shivakumar Channabasappa,BJP,566790
176,Dharwad,Karnataka,Pralhad Joshi,BJP,545395
177,Uttara Kannada,Karnataka,Anantkumar Hegde,BJP,546939
178,Davanagere,Karnataka,G M Siddeshwara,BJP,518894
179,Shimoga,Karnataka,B. S. Yeddyurappa,BJP,606216
180,Udupi Chikmagalur,Karnataka,Shobha Karandlaje,BJP,581168
181,Hassan,Karnataka,H.D. Devegowda,JD(S),509841
182,Dakshina Kannada,Karnataka,Nalin Kumar Kateel,BJP,642739
183,Chitradurga,Karnataka,B.N.Chandrappa,INC,467511
184,Tumkur,Karnataka,Muddahanumegowda.S.P.,INC,429868
185,Mandya,Karnataka,C.S.Puttaraju,JD(S),524370
186,Mysore,Karnataka,Prathap Simha,BJP,503908
187,Chamarajanagar,Karnataka,R. Dhruvanarayana,INC,567782
188,Bangalore Rural,Karnataka,D K Suresh,INC,652723
189,Bangalore North,Karnataka,D.V Sadananda Gowda,BJP,718326
190,Bangalore Central,Karnataka,P.C. Mohan,BJP,557130
191,Bangalore South,Karnataka,Ananth Kumar,BJP,633816
192,Chikkaballapur,Karnataka,M Veerappa Moily,INC,424800
193,Kolar,Karnataka,K.H.Muniyappa,INC,418926
194,Kasaragod,Kerala,P Karunakaran,CPM,384964
195,Kannur,Kerala,P K Sreemathi Teacher,CPM,427622
196,Vatakara,Kerala,Mullappally Ramachandran,INC,416479
197,Wayanad,Kerala,M I Shanavas,INC,377035
198,Kozhikode,Kerala,M .K Raghavan,INC,397615
199,Malappuram,Kerala,E. Ahamed,IUML,437723
200,Ponnani,Kerala,E. T. Mohammed Basheer,IUML,378503
201,Palakkad,Kerala,M B Rajesh,CPM,412897
202,Alathur,Kerala,P.K.Biju,CPM,411808
203,Thrissur,Kerala,C. N. Jayadevan,CPI,389209
204,Chalakudy,Kerala,Innocent,IND,358440
205,Ernakulam,Kerala,Prof. K.V. Thomas,INC,353841
206,Idukki,Kerala,Adv.Joice George,IND,382019
207,Kottayam,Kerala,Jose K. Mani,KC(M),424194
208,Alappuzha,Kerala,K C Venugopal,INC,462525
209,Mavelikkara,Kerala,Kodikunnil Suresh,INC,402432
210,Pathanamthitta,Kerala,Anto Antony,INC,358842
211,Kollam,Kerala,N.K.Premachandran,RSP,408528
212,Attingal,Kerala,Dr.A .Sampath,CPM,392478
